131.0	188.0	234.0
130.0	167.0	26.0
40.0	201.0	124.0
218.0	203.0	124.0
130.0	47.9	138.0
131.0	149.0	235.1
131.0	112.0	228.1
131.0	80.9	206.0
130.0	57.9	175.0
130.0	46.9	100.0
130.0	61.9	66.0
130.0	93.0	44.9
130.0	128.0	29.9
42.9	163.0	127.0
46.0	120.9	131.0
59.9	84.0	135.0
91.0	57.9	137.0
169.1	60.0	137.0
198.1	84.0	135.0
213.1	120.0	132.0
215.1	162.0	128.0
100.9	157.0	233.0
57.9	165.0	191.0
54.9	154.0	71.0
99.0	137.0	31.9
159.1	157.0	232.0
201.1	164.0	192.0
202.1	153.0	71.0
161.0	137.0	32.9
75.0	105.9	197.0
182.0	103.9	198.0
73.0	92.9	65.0
184.1	92.0	65.0
