Label,X,Y,Z
NzHS,12.23,-0.22,10.21
IzHS
ARHS,11.48,-8.04,20.54
ALHS,11.82,7.11,20.59
Fp1HS
Fp2HS
FzHS
F3HS
F4HS
F7HS
F8HS
CzHS,25,-0.32,23.68
C3HS
C4HS
T3HS
T4HS
PzHS
P3HS
P4HS
T5HS
T6HS
O1HS
O2HS
